HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456085.10898,2012-06-06.6082553,ba,2.02,16.086,>16.086,99.990,0.726,0.282,V
2456220.87256,2012-10-20.3696152,bb,2.11,17.182,17.055,0.195,0.578,0.103,V
2456222.84033,2012-10-22.3375057,bb,2.01,16.524,>16.524,99.990,0.579,0.189,V
2456224.80631,2012-10-24.3036079,bb,2.02,16.672,>16.672,99.990,0.499,0.164,V
2456227.85846,2012-10-27.3559598,bb,1.98,15.823,>15.823,99.990,-0.263,0.360,V
2456227.86029,2012-10-27.3577932,bb,1.99,14.901,>14.901,99.990,0.183,0.840,V
2456230.76046,2012-10-30.2581578,bb,2.04,16.411,>16.411,99.990,0.308,0.209,V
2456232.82159,2012-11-01.3194368,bb,1.98,16.709,>16.709,99.990,0.310,0.159,V
2456240.78831,2012-11-09.2867434,bb,2.16,17.173,>17.173,99.990,0.311,0.104,V
2456246.72704,2012-11-15.2259274,bb,1.73,17.334,17.315,0.216,0.455,0.089,V
2456252.80995,2012-11-21.3093240,bb,1.85,15.335,>15.335,99.990,0.289,0.564,V
2456252.81162,2012-11-21.3109873,bb,1.56,14.915,>14.915,99.990,-0.454,0.829,V
2456257.72996,2012-11-26.2297247,bb,1.98,16.393,>16.393,99.990,0.006,0.213,V
2456268.72863,2012-12-07.2292987,bb,1.82,17.154,>17.154,99.990,0.419,0.106,V
2456274.72789,2012-12-13.2290127,bb,2.30,15.610,>15.610,99.990,1.179,0.437,V
2456288.76145,2012-12-27.2636211,bb,1.98,14.837,>14.837,99.990,-0.066,0.892,V
2456381.13783,2013-03-29.6417524,bb,2.48,15.755,>15.755,99.990,0.581,0.383,V
2456393.10233,2013-04-10.6056935,bb,2.16,16.629,>16.629,99.990,0.425,0.171,V
2456393.10378,2013-04-10.6071436,bb,2.16,16.672,>16.672,99.990,0.548,0.165,V
2456398.11399,2013-04-15.6170710,bb,2.05,16.756,>16.756,99.990,0.152,0.152,V
2456398.11544,2013-04-15.6185215,bb,2.03,16.321,>16.321,99.990,0.424,0.227,V
2456403.10368,2013-04-20.6064594,bb,2.13,16.912,>16.912,99.990,0.522,0.132,V
2456407.10126,2013-04-24.6037743,bb,2.05,16.107,>16.107,99.990,-0.317,0.277,V
2456407.10303,2013-04-24.6055488,bb,2.09,16.125,>16.125,99.990,0.174,0.272,V
2456408.09832,2013-04-25.6007740,bb,1.96,16.013,>16.013,99.990,0.029,0.302,V
2456408.10010,2013-04-25.6025740,bb,1.99,15.966,>15.966,99.990,0.860,0.315,V
2456411.08966,2013-04-28.5919153,bb,2.13,15.982,>15.982,99.990,0.080,0.311,V
2456411.09147,2013-04-28.5937186,bb,2.16,16.075,>16.075,99.990,0.059,0.285,V
2456411.09328,2013-04-28.5955321,bb,2.18,15.639,>15.639,99.990,0.562,0.426,V
2456411.09514,2013-04-28.5973920,bb,2.12,15.241,>15.241,99.990,-0.323,0.614,V
2456415.09697,2013-05-02.5989460,bb,2.05,16.696,>16.696,99.990,0.279,0.161,V
2456415.09917,2013-05-02.6011451,bb,2.01,16.707,>16.707,99.990,0.355,0.159,V
2456437.03978,2013-05-24.5400984,bb,1.94,14.942,>14.942,99.990,-0.763,0.809,V
2456437.04149,2013-05-24.5418030,bb,1.97,14.722,>14.722,99.990,-0.431,0.991,V
2456443.05113,2013-05-30.5509811,bb,2.09,16.555,>16.555,99.990,0.269,0.183,V
2456443.05283,2013-05-30.5526820,bb,2.05,16.444,>16.444,99.990,0.362,0.203,V
2456447.04392,2013-06-03.5434494,bb,1.98,16.911,>16.911,99.990,0.399,0.132,V
2456447.04563,2013-06-03.5451681,bb,2.00,16.893,>16.893,99.990,0.430,0.134,V
2456450.02262,2013-06-06.5219208,bb,2.05,16.718,>16.718,99.990,0.390,0.158,V
2456450.02402,2013-06-06.5233221,bb,2.02,16.810,>16.810,99.990,0.342,0.145,V
2456453.00501,2013-06-09.5040834,bb,1.94,13.836,>13.836,99.990,-1.036,2.242,V
2456455.01365,2013-06-11.5125641,bb,1.86,15.826,>15.826,99.990,0.513,0.359,V
2456455.01503,2013-06-11.5139447,bb,1.73,15.843,>15.843,99.990,0.178,0.353,V
2456460.10184,2013-06-16.6003863,bb,1.97,16.920,>16.920,99.990,0.247,0.131,V
2456460.10325,2013-06-16.6017873,bb,1.74,16.909,16.806,0.200,0.727,0.132,V
2456462.96213,2013-06-19.4604543,bb,1.75,16.511,>16.511,99.990,0.100,0.191,V
2456462.96359,2013-06-19.4619211,bb,1.76,16.383,>16.383,99.990,0.016,0.215,V
2456464.98575,2013-06-21.4839314,bb,1.80,16.158,>16.158,99.990,-0.215,0.264,V
2456464.98712,2013-06-21.4852988,bb,1.84,16.208,>16.208,99.990,0.420,0.252,V
2456466.98148,2013-06-23.4795204,bb,1.96,15.219,>15.219,99.990,-0.462,0.627,V
2456466.98286,2013-06-23.4808903,bb,1.97,15.029,>15.029,99.990,0.149,0.747,V
2456468.99526,2013-06-25.4931495,bb,1.77,16.261,>16.261,99.990,0.734,0.240,V
2456468.99662,2013-06-25.4945194,bb,1.80,16.162,>16.162,99.990,0.041,0.263,V
2456471.98041,2013-06-28.4780987,bb,2.05,16.300,>16.300,99.990,0.479,0.232,V
2456471.98178,2013-06-28.4794649,bb,2.04,16.295,>16.295,99.990,0.179,0.233,V
2456473.99197,2013-06-30.4895273,bb,1.78,16.808,16.699,0.198,0.802,0.145,V
2456473.99334,2013-06-30.4908978,bb,1.73,16.805,>16.805,99.990,0.281,0.146,V
2456476.00076,2013-07-02.4981781,bb,1.73,16.786,>16.786,99.990,0.494,0.148,V
2456476.00215,2013-07-02.4995675,bb,1.65,16.965,>16.965,99.990,0.518,0.126,V
2456478.95547,2013-07-05.4527001,bb,1.67,17.055,16.962,0.202,0.629,0.116,V
2456478.95689,2013-07-05.4541278,bb,1.77,16.923,>16.923,99.990,0.208,0.130,V
2456479.95507,2013-07-06.4522440,bb,1.80,16.975,>16.975,99.990,0.577,0.124,V
2456479.95644,2013-07-06.4536026,bb,1.76,16.990,>16.990,99.990,0.547,0.123,V
2456482.97775,2013-07-09.4747364,bb,2.05,16.861,>16.861,99.990,0.525,0.138,V
2456482.97920,2013-07-09.4761851,bb,2.05,16.766,>16.766,99.990,0.471,0.151,V
2456485.97771,2013-07-12.4745239,bb,2.00,16.938,>16.938,99.990,0.564,0.129,V
2456485.97911,2013-07-12.4759162,bb,2.03,16.877,>16.877,99.990,0.472,0.136,V
2456487.97078,2013-07-14.4674798,bb,1.70,99.990,99.990,99.990,99.990,99.990,V
2456487.97217,2013-07-14.4688616,bb,1.75,16.983,>16.983,99.990,0.128,0.124,V
2456489.98052,2013-07-16.4771017,bb,1.78,16.903,>16.903,99.990,0.128,0.133,V
2456489.98188,2013-07-16.4784688,bb,1.79,16.858,>16.858,99.990,0.497,0.139,V
2456490.93870,2013-07-17.4352413,bb,1.80,16.875,>16.875,99.990,0.345,0.136,V
2456490.94007,2013-07-17.4366075,bb,1.76,16.797,>16.797,99.990,0.189,0.147,V
2456492.94385,2013-07-19.4402829,bb,1.71,16.434,>16.434,99.990,0.685,0.205,V
2456492.94521,2013-07-19.4416405,bb,1.84,16.358,>16.358,99.990,0.511,0.220,V
2456494.95471,2013-07-21.4510458,bb,2.11,13.613,>13.613,99.990,6.238,2.756,V
2456496.91262,2013-07-23.4088614,bb,1.88,15.671,>15.671,99.990,0.553,0.413,V
2456496.91401,2013-07-23.4102538,bb,1.83,15.807,>15.807,99.990,0.249,0.365,V
2456507.91339,2013-08-03.4091879,bb,1.79,16.890,>16.890,99.990,0.306,0.135,V
2456507.91479,2013-08-03.4106020,bb,1.69,16.929,>16.929,99.990,0.039,0.130,V
2456508.94167,2013-08-04.4374304,bb,1.76,16.932,>16.932,99.990,0.317,0.130,V
2456508.94325,2013-08-04.4390182,bb,1.77,17.024,>17.024,99.990,0.138,0.119,V
2456512.92430,2013-08-08.4199434,bb,1.76,99.990,99.990,99.990,99.990,99.990,V
2456512.92584,2013-08-08.4214807,bb,1.69,17.088,>17.088,99.990,0.343,0.112,V
2456517.88060,2013-08-13.3761223,bb,2.06,15.478,>15.478,99.990,0.006,0.494,V
2456517.88203,2013-08-13.3775549,bb,2.05,15.499,>15.499,99.990,-0.064,0.485,V
2456518.84078,2013-08-14.3362777,bb,2.00,16.906,>16.906,99.990,0.586,0.133,V
2456518.84216,2013-08-14.3376688,bb,1.79,16.668,>16.668,99.990,0.584,0.165,V
2456521.86220,2013-08-17.3576524,bb,1.82,16.599,>16.599,99.990,0.114,0.176,V
2456521.86359,2013-08-17.3590319,bb,1.73,16.412,>16.412,99.990,0.406,0.209,V
2456523.87668,2013-08-19.3720924,bb,1.81,16.148,>16.148,99.990,0.375,0.266,V
2456523.87805,2013-08-19.3734618,bb,1.72,15.909,>15.909,99.990,0.331,0.332,V
2456524.88718,2013-08-20.3825791,bb,1.82,15.700,>15.700,99.990,0.331,0.403,V
2456524.88855,2013-08-20.3839498,bb,1.78,15.815,>15.815,99.990,-0.187,0.362,V
2456528.89327,2013-08-24.3886336,bb,1.80,16.281,>16.281,99.990,0.949,0.236,V
2456528.89464,2013-08-24.3900025,bb,1.67,16.593,>16.593,99.990,0.534,0.177,V
2456533.86203,2013-08-29.3573719,bb,1.82,16.926,16.532,0.153,0.935,0.130,V
2456533.86339,2013-08-29.3587291,bb,1.75,16.899,>16.899,99.990,0.664,0.133,V
2456535.89778,2013-08-31.3931200,bb,1.77,16.858,>16.858,99.990,0.473,0.139,V
2456535.89913,2013-08-31.3944763,bb,1.73,16.928,>16.928,99.990,0.370,0.130,V
2456537.89418,2013-09-02.3895324,bb,1.79,16.880,>16.880,99.990,0.438,0.136,V
2456537.89555,2013-09-02.3909034,bb,1.72,16.993,>16.993,99.990,0.503,0.122,V
2456538.85201,2013-09-03.3473663,bb,1.72,99.990,99.990,99.990,99.990,99.990,V
2456538.85338,2013-09-03.3487344,bb,1.73,17.302,>17.302,99.990,0.155,0.092,V
2456543.87508,2013-09-08.3704861,bb,1.76,16.918,>16.918,99.990,0.631,0.131,V
2456543.87644,2013-09-08.3718446,bb,1.80,17.065,>17.065,99.990,0.104,0.115,V
2456544.87713,2013-09-09.3725427,bb,1.68,16.827,>16.827,99.990,0.683,0.143,V
2456544.87850,2013-09-09.3739144,bb,1.70,17.032,16.982,0.209,0.619,0.118,V
2456554.86942,2013-09-19.3650390,bb,1.79,15.672,>15.672,99.990,0.802,0.413,V
2456554.87078,2013-09-19.3664083,bb,1.75,15.745,>15.745,99.990,0.594,0.386,V
2456559.84550,2013-09-24.3412722,bb,1.71,15.840,>15.840,99.990,1.269,0.354,V
2456559.84687,2013-09-24.3426447,bb,1.68,15.965,>15.965,99.990,0.265,0.315,V
2456562.79022,2013-09-27.2860951,bb,2.19,16.835,>16.835,99.990,0.360,0.142,V
2456562.79159,2013-09-27.2874670,bb,2.17,16.845,>16.845,99.990,0.614,0.140,V
2456568.84379,2013-10-03.3399146,bb,2.47,16.300,>16.300,99.990,0.627,0.232,V
2456568.84515,2013-10-03.3412729,bb,2.49,16.491,>16.491,99.990,0.758,0.194,V
2456569.82963,2013-10-04.3257951,bb,2.16,16.392,>16.392,99.990,0.243,0.213,V
2456569.83100,2013-10-04.3271677,bb,2.21,15.736,>15.736,99.990,1.495,0.389,V
2456570.91392,2013-10-05.4101412,bb,2.07,16.930,>16.930,99.990,0.483,0.130,V
2456570.91529,2013-10-05.4115052,bb,2.05,16.830,>16.830,99.990,0.048,0.142,V
2456574.84199,2013-10-09.3383946,bb,2.01,14.131,>14.131,99.990,1.693,1.708,V
2456574.84336,2013-10-09.3397646,bb,2.11,14.028,>14.028,99.990,4.124,1.880,V
2456575.81831,2013-10-10.3147706,bb,1.76,16.731,>16.731,99.990,0.542,0.156,V
2456575.81967,2013-10-10.316125,bb,1.77,16.756,>16.756,99.990,0.531,0.152,V
2456588.79887,2013-10-23.2960859,bb,1.74,16.583,>16.583,99.990,0.540,0.179,V
2456588.80023,2013-10-23.2974413,bb,1.70,16.563,>16.563,99.990,0.120,0.182,V
2456589.77540,2013-10-24.2726803,bc,1.52,16.121,>16.121,99.990,0.130,0.273,V
2456589.77678,2013-10-24.2740533,bc,1.57,16.000,>16.000,99.990,0.175,0.305,V
2456590.78390,2013-10-25.2812403,bb,2.09,16.518,>16.518,99.990,0.523,0.190,V
2456590.78527,2013-10-25.2826111,bb,2.08,16.517,>16.517,99.990,0.491,0.190,V
2456593.77708,2013-10-28.2746278,bb,1.70,16.521,>16.521,99.990,0.353,0.189,V
2456593.77845,2013-10-28.2759978,bb,1.68,16.669,>16.669,99.990,0.064,0.165,V
2456595.78647,2013-10-30.2841517,bb,2.41,16.532,>16.532,99.990,0.438,0.187,V
2456597.77146,2013-11-01.2692832,bb,2.12,16.771,>16.771,99.990,0.393,0.150,V
2456597.77283,2013-11-01.2706518,bb,2.13,16.851,>16.851,99.990,0.184,0.140,V
2456613.72717,2013-11-17.2261974,ba,2.36,15.472,>15.472,99.990,1.062,0.497,V
2456737.13608,2014-03-20.6399234,ba,1.83,15.918,>15.918,99.990,-0.051,0.329,V
2456737.13739,2014-03-20.6412370,ba,1.80,15.754,>15.754,99.990,1.002,0.383,V
2456742.12276,2014-03-25.6264383,ba,2.00,16.186,>16.186,99.990,0.638,0.257,V
