ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6018567,25.3786556,0.0623,0.0559,-0.0226,12.397,0.025,43.6,1.210E+00,12.309,0.043,25.0,7.320E-01,1,0,0000,AA,10,57171.28994838,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.019195,214.122402
324.6018553,25.3786568,0.0590,0.0534,-0.0166,12.406,0.021,51.4,5.225E-01,12.402,0.054,20.2,4.285E-01,1,0,0000,AA,10,56808.55899155,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.019195,232.999242
324.6018559,25.3786656,0.0743,0.0584,-0.0168,12.407,0.025,42.6,8.491E-01,12.431,0.057,19.0,8.487E-01,1,0,0000,AA,10,57534.82229602,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.024201,326.515868
324.6018492,25.3786588,0.0674,0.0594,-0.0181,12.424,0.025,42.8,1.045E+00,12.362,0.050,21.6,7.886E-01,1,0,0000,AA,10,57708.08014894,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.035446,262.989015
324.6018491,25.3786583,0.0680,0.0645,-0.0256,12.408,0.026,41.9,9.114E-01,12.403,0.046,23.7,8.271E-01,1,0,0000,AA,10,58068.99949707,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.035975,260.205999
324.6018536,25.3786516,0.0631,0.0583,-0.0195,12.480,0.025,43.8,1.178E+00,12.556,0.062,17.6,4.711E-01,1,0,0000,AA,10,57170.43678508,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.036755,214.542637
324.6018584,25.3786497,0.0659,0.0657,-0.0196,12.456,0.027,40.6,2.253E+00,12.416,0.048,22.6,6.656E-01,1,0,0000,AA,10,57707.62160396,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.037392,187.989207
324.6018501,25.3786544,0.0766,0.0838,0.0191,12.680,0.030,36.5,1.830E+01,12.741,0.065,16.6,3.088E+00,1,0,0000,AA,0,57535.34641918,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.038018,237.950306
324.6018692,25.3786530,0.0619,0.0538,-0.0158,12.409,0.024,45.1,7.936E-01,12.373,0.045,24.2,8.531E-01,1,0,0000,AA,10,56987.44299858,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.039120,130.102080
324.6018481,25.3786583,0.0589,0.0557,-0.0090,12.422,0.023,46.3,7.968E-01,12.421,0.045,23.9,9.626E-01,1,0,0000,AA,10,57170.30562718,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.039241,261.014999
