ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6123187,25.3732991,1.0291,1.2447,-0.3833,16.127,0.440,2.5,1.044E+00,15.651,null,0.2,9.890E-01,1,0,0000,CU,10,57708.27663177,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,2.431330,23.553951
324.6123696,25.3735636,0.6291,0.5657,-0.2139,15.841,0.194,5.6,9.299E-01,15.486,0.539,2.0,8.679E-01,1,0,0000,BC,10,57708.34221093,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.378111,19.671282
324.6124540,25.3735529,0.3283,0.3031,-0.1135,15.093,0.104,10.5,1.269E+00,14.502,0.241,4.5,8.588E-01,1,0,0000,AB,10,56808.29578459,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.444965,24.191060
324.6122260,25.3736273,0.4270,0.4407,-0.1644,15.532,0.149,7.3,9.536E-01,14.949,0.346,3.1,7.399E-01,1,0,0000,BB,10,57537.96728694,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.475484,11.116005
324.6125288,25.3735332,0.3058,0.3001,-0.1254,15.016,0.097,11.2,7.515E-01,15.084,0.458,2.4,1.226E+00,1,0,0000,AC,10,57171.28994838,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.489015,28.316471
324.6122833,25.3736370,0.5919,0.5328,0.1360,15.751,0.191,5.7,5.852E-01,14.507,0.327,3.3,1.058E+00,1,0,0000,BB,10,57707.88366605,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.550056,13.960152
324.6123924,25.3736071,0.4150,0.4663,-0.2459,15.303,0.133,8.2,6.595E-01,15.412,0.487,2.2,5.788E-01,1,0,0000,BC,10,56809.08540602,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.550576,19.947519
324.6123735,25.3736190,0.3876,0.3423,-0.1267,15.293,0.118,9.2,6.851E-01,14.663,0.254,4.3,8.564E-01,1,0,0000,BB,10,56808.42745174,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.570608,18.785617
324.6123579,25.3736451,0.2980,0.2548,-0.0531,14.891,0.090,12.1,1.259E+00,14.509,0.230,4.7,4.120E-01,1,0,0000,AB,10,57170.30562718,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.644063,17.554450
324.6122987,25.3736620,0.3668,0.3742,-0.1776,15.214,0.115,9.4,9.350E-01,14.734,0.324,3.3,6.314E-01,1,0,0000,BB,10,56808.75636486,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.649582,14.382464
324.6123170,25.3736613,0.3304,0.3383,-0.0763,15.071,0.126,8.6,1.146E+00,15.226,0.429,2.5,7.877E-01,1,0,0000,BC,10,56986.85138553,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.662390,15.294336
324.6125637,25.3735726,0.3303,0.4053,-0.1558,15.121,0.131,8.3,1.296E+00,14.577,0.265,4.1,7.258E-01,1,0,0000,BB,10,57902.53362963,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.667875,28.826580
324.6124513,25.3736353,0.3301,0.3717,-0.1546,15.199,0.151,7.2,6.320E-01,14.352,0.195,5.6,6.224E-01,1,0,0000,BB,10,56809.41444647,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.714216,22.191909
324.6122663,25.3736875,0.3806,0.4720,-0.1932,15.323,0.140,7.8,1.219E+00,14.482,0.224,4.8,3.619E-01,1,0,0000,BB,10,56987.04850502,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.714427,12.455683
324.6125751,25.3735836,0.4336,0.4051,-0.1956,15.109,0.164,6.6,8.516E-01,14.609,0.227,4.8,4.820E-01,1,0,0000,BB,10,57349.17244880,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.720472,29.032823
