wl	n
3.1546	1.558
2.5000	1.578
2.5063	1.579
2.5126	1.576
2.5189	1.578
2.5253	1.576
2.5316	1.578
2.5381	1.575
2.5445	1.576
2.5510	1.575
2.5575	1.576
2.5641	1.579
2.5707	1.576
2.5773	1.578
2.5840	1.576
2.5907	1.578
2.5974	1.575
2.6042	1.578
2.6110	1.573
2.6178	1.577
2.6247	1.574
2.6316	1.576
2.6385	1.573
2.6455	1.576
2.6525	1.574
2.6596	1.573
2.6667	1.572
2.6738	1.575
2.6810	1.572
2.6882	1.574
2.6954	1.574
2.7027	1.574
2.7100	1.570
2.7174	1.571
2.7248	1.569
2.7322	1.571
2.7397	1.571
2.7473	1.567
2.7548	1.569
2.7624	1.570
2.7701	1.570
2.7778	1.568
2.7855	1.569
2.7933	1.569
2.8011	1.568
2.8090	1.570
2.8169	1.570
2.8249	1.570
2.8329	1.568
2.8409	1.568
2.8490	1.567
2.8571	1.568
2.8653	1.569
2.8736	1.568
2.8818	1.567
2.8902	1.569
2.8986	1.566
2.9070	1.566
2.9155	1.565
2.9240	1.568
2.9326	1.566
2.9412	1.566
2.9499	1.561
2.9586	1.566
2.9674	1.566
2.9762	1.564
2.9851	1.564
2.9940	1.563
3.0030	1.563
3.0120	1.561
3.0211	1.564
3.0303	1.563
3.0395	1.562
3.0488	1.564
3.0581	1.561
3.0675	1.561
3.0769	1.559
3.0864	1.560
3.0960	1.560
3.1056	1.562
3.1153	1.559
3.1250	1.558
3.1348	1.556
3.1447	1.556
3.1646	1.553
3.1746	1.554
3.1847	1.555
3.1949	1.554
3.2051	1.553
3.2154	1.553
3.2258	1.553
3.2362	1.553
3.2468	1.551
3.2573	1.548
3.2680	1.549
3.2787	1.549
3.2895	1.546
3.3003	1.544
3.3113	1.548
3.3223	1.547
3.3333	1.551
3.3445	1.552
3.3557	1.546
3.3670	1.548
3.3784	1.548
3.3898	1.547
3.4014	1.546
3.4130	1.547
3.4247	1.545
3.4364	1.542
3.4483	1.546
3.4602	1.549
3.4722	1.546
3.4843	1.551
3.4965	1.550
3.5088	1.550
3.5211	1.547
3.5336	1.544
3.5461	1.547
3.5587	1.542
3.5714	1.540
3.5842	1.538
3.5971	1.539
3.6102	1.537
3.6232	1.537
3.6364	1.536
3.6496	1.533
3.6630	1.533
3.6765	1.534
3.6900	1.535
3.7037	1.532
3.7175	1.528
3.7313	1.529
3.7453	1.524
3.7594	1.524
3.7736	1.524
3.7879	1.523
3.8023	1.520
3.8168	1.525
3.8314	1.524
3.8462	1.519
3.8610	1.516
3.8760	1.517
3.8911	1.515
3.9063	1.512
3.9216	1.515
3.9370	1.519
3.9526	1.523
3.9683	1.532
3.9841	1.534
4.0000	1.530
4.0161	1.529
4.0323	1.523
4.0486	1.523
4.0650	1.522
4.0816	1.517
4.0984	1.516
4.1152	1.515
4.1322	1.511
4.1494	1.509
4.1667	1.510
4.1841	1.507
4.2017	1.507
4.2194	1.501
4.2373	1.502
4.2553	1.498
4.2735	1.500
4.2918	1.496
4.3103	1.495
4.3290	1.495
4.3478	1.493
4.3668	1.490
4.3860	1.487
4.4053	1.484
4.4248	1.484
4.4444	1.482
4.4643	1.480
4.4843	1.478
4.5045	1.475
4.5249	1.473
4.5455	1.471
4.5662	1.468
4.5872	1.466
4.6083	1.463
4.6296	1.463
4.6512	1.458
4.6729	1.456
4.6948	1.454
4.7170	1.452
4.7393	1.447
4.7619	1.445
4.7847	1.442
4.8077	1.437
4.8309	1.436
4.8544	1.432
4.8780	1.426
4.9020	1.424
4.9261	1.421
4.9505	1.416
4.9751	1.412
5.0000	1.409
5.0251	1.403
5.0505	1.397
5.0761	1.391
5.1020	1.389
5.1282	1.384
5.1546	1.375
5.1813	1.372
5.2083	1.365
5.2356	1.359
5.2632	1.351
5.2910	1.344
5.3191	1.336
5.3476	1.328
5.3763	1.318
5.4054	1.306
5.4348	1.291
5.4645	1.275
5.4945	1.279
5.5249	1.290
5.5556	1.286
5.5866	1.273
5.6180	1.262
5.6497	1.245
5.6818	1.231
5.7143	1.213
5.7471	1.196
5.7803	1.177
5.8140	1.156
5.8480	1.140
5.8824	1.117
5.9172	1.090
5.9524	1.061
5.9880	1.024
6.0241	0.998
6.0606	0.960
6.0976	0.921
6.1350	0.867
6.1728	0.807
6.2112	0.738
6.2500	0.660
6.2893	0.554
6.3291	0.373
6.3694	0.144
6.4103	0.086
6.4516	0.077
6.4935	0.080
6.5359	0.089
6.5789	0.102
6.6225	0.120
6.6667	0.147
6.7114	0.187
6.7568	0.241
6.8027	0.326
6.8493	0.490
6.8966	0.774
6.9444	1.181
6.9930	2.657
7.0423	6.584
7.0922	5.350
7.1429	4.431
7.1942	3.771
7.2464	3.392
7.2993	3.141
7.3529	2.942
7.4074	2.790
7.4627	2.676
7.5188	2.583
7.5758	2.503
7.6336	2.437
7.6923	2.382
7.7519	2.333
7.8125	2.290
7.8740	2.249
7.9365	2.214
8.0000	2.185
8.0645	2.156
8.1301	2.134
8.1967	2.112
8.2645	2.091
8.3333	2.068
8.4034	2.054
8.4746	2.038
8.5470	2.021
8.6207	2.005
8.6957	1.991
8.7719	1.978
8.8496	1.964
8.9286	1.952
9.0090	1.943
9.0909	1.932
9.1743	1.921
9.2593	1.913
9.3458	1.902
9.4340	1.892
9.5238	1.884
9.6154	1.874
9.7087	1.865
9.8039	1.859
9.9010	1.849
10.0000	1.842
10.1010	1.832
10.2041	1.825
10.3093	1.817
10.4167	1.809
10.5263	1.801
10.6383	1.795
10.7527	1.789
10.8696	1.778
10.9890	1.772
11.1111	1.762
11.2360	1.758
11.3636	1.754
11.4943	1.747
11.6279	1.735
11.7647	1.726
11.9048	1.718
12.0482	1.710
12.1951	1.696
12.3457	1.689
12.5000	1.678
12.6582	1.668
12.8205	1.653
12.9870	1.634
