wl	n
0.2100	1.202
0.2200	1.471
0.2300	1.659
0.2400	1.790
0.2500	1.899
0.2600	2.007
0.2700	2.110
0.2800	2.197
0.2900	2.261
0.3000	2.307
0.3100	2.357
0.3200	2.416
0.3300	2.454
0.3400	2.450
0.3500	2.430
0.3600	2.433
0.3700	2.470
0.3800	2.545
0.3900	2.645
0.4000	2.756
0.4100	2.863
0.4200	2.962
0.4300	3.052
0.4400	3.126
0.4500	3.181
0.4600	3.217
0.4700	3.242
0.4800	3.264
0.4900	3.280
0.5000	3.282
0.5100	3.272
0.5200	3.262
0.5300	3.266
0.5400	3.286
0.5500	3.318
0.5600	3.348
0.5700	3.361
0.5800	3.348
0.5900	3.312
0.6000	3.265
0.6100	3.218
0.6200	3.175
0.6300	3.135
0.6400	3.102
0.6500	3.074
0.6600	3.051
0.6700	3.029
0.6800	3.008
0.6900	2.990
0.7000	2.972
0.7100	2.956
0.7200	2.942
0.7300	2.929
0.7400	2.916
0.7500	2.903
0.7600	2.892
0.7700	2.882
0.7800	2.872
0.7900	2.862
0.8000	2.853
0.8100	2.845
0.8200	2.838
0.8300	2.833
0.8400	2.828
0.8500	2.824
0.8600	2.820
0.8700	2.816
0.8800	2.813
0.8900	2.809
0.9000	2.805
0.9100	2.801
0.9200	2.798
0.9300	2.794
0.9400	2.791
0.9500	2.789
0.9600	2.787
0.9700	2.784
0.9800	2.781
0.9900	2.778
1.0000	2.775
1.0100	2.771
1.0200	2.768
1.0300	2.765
1.0400	2.762
1.0500	2.759
1.0600	2.755
1.0700	2.753
1.0800	2.750
1.0900	2.747
1.1000	2.745
1.1100	2.742
1.1200	2.740
1.1300	2.739
1.1400	2.737
1.1500	2.734
1.1600	2.732
1.1700	2.729
1.1800	2.727
1.1900	2.725
1.2000	2.723
1.2100	2.721
1.2200	2.719
1.2300	2.718
1.2400	2.716
1.2500	2.715
1.2600	2.714
1.2700	2.712
1.2800	2.709
1.2900	2.708
1.3000	2.706
1.3100	2.705
1.3200	2.704
1.3300	2.703
1.3400	2.702
1.3500	2.700
1.3600	2.699
1.3700	2.697
1.3800	2.696
1.3900	2.695
1.4000	2.693
1.4100	2.693
1.4200	2.692
1.4300	2.692
1.4400	2.691
1.4500	2.690
1.4600	2.689
1.4700	2.687
1.4800	2.686
1.4900	2.686
1.5000	2.685
1.5100	2.684
1.5200	2.683
1.5300	2.683
1.5400	2.682
1.5500	2.682
1.5600	2.682
1.5700	2.681
1.5800	2.680
1.5900	2.679
1.6000	2.678
1.6100	2.677
1.6200	2.677
1.6300	2.677
1.6400	2.677
1.6500	2.677
1.6600	2.676
1.6700	2.676
1.6800	2.676
1.6900	2.675
1.7000	2.674
1.7100	2.674
1.7200	2.673
1.7300	2.673
1.7400	2.673
1.7500	2.672
1.7600	2.672
1.7700	2.671
1.7800	2.672
1.7900	2.671
1.8000	2.670
1.8100	2.669
1.8200	2.668
1.8300	2.667
1.8400	2.666
1.8500	2.665
1.8600	2.664
1.8700	2.664
1.8800	2.665
1.8900	2.666
1.9000	2.667
1.9100	2.667
1.9200	2.667
1.9300	2.667
1.9400	2.667
1.9500	2.667
1.9600	2.667
1.9700	2.666
1.9800	2.666
1.9900	2.665
2.0000	2.665
2.0100	2.665
2.0200	2.665
2.0300	2.665
2.0400	2.665
2.0500	2.664
2.0600	2.664
2.0700	2.664
2.0800	2.664
2.0900	2.664
2.1000	2.664
2.1100	2.664
2.1200	2.663
2.1300	2.663
2.1400	2.663
2.1500	2.663
2.1600	2.663
2.1700	2.663
2.1800	2.663
2.1900	2.662
2.2000	2.662
2.2100	2.662
2.2200	2.662
2.2300	2.662
2.2400	2.662
2.2500	2.662
2.2600	2.662
2.2700	2.662
2.2800	2.662
2.2900	2.662
2.3000	2.662
2.3100	2.661
2.3200	2.661
2.3300	2.661
2.3400	2.661
2.3500	2.661
2.3600	2.661
2.3700	2.660
2.3800	2.660
2.3900	2.660
2.4000	2.660
2.4100	2.660
2.4200	2.659
2.4300	2.659
2.4400	2.659
2.4500	2.660
2.4600	2.660
2.4700	2.659
2.4800	2.659
2.4900	2.658
2.5000	2.658
2.5063	2.658
2.5126	2.658
2.5189	2.657
2.5253	2.657
2.5316	2.657
2.5381	2.658
2.5445	2.658
2.5510	2.658
2.5575	2.658
2.5641	2.658
2.5707	2.659
2.5773	2.659
2.5840	2.659
2.5907	2.659
2.5974	2.659
2.6042	2.659
2.6110	2.659
2.6178	2.659
2.6247	2.659
2.6316	2.659
2.6385	2.658
2.6455	2.657
2.6525	2.657
2.6596	2.658
2.6667	2.659
2.6738	2.659
2.6810	2.658
2.6882	2.657
2.6954	2.657
2.7027	2.657
2.7100	2.657
2.7174	2.657
2.7248	2.657
2.7322	2.656
2.7397	2.656
2.7473	2.655
2.7548	2.655
2.7624	2.656
2.7701	2.656
2.7778	2.655
2.7855	2.655
2.7933	2.655
2.8011	2.655
2.8090	2.654
2.8169	2.654
2.8249	2.654
2.8329	2.653
2.8409	2.653
2.8490	2.653
2.8571	2.653
2.8653	2.652
2.8736	2.652
2.8818	2.652
2.8902	2.652
2.8986	2.651
2.9070	2.651
2.9155	2.651
2.9240	2.650
2.9326	2.650
2.9412	2.650
2.9499	2.650
2.9586	2.650
2.9674	2.650
2.9762	2.650
2.9851	2.650
2.9940	2.650
3.0030	2.650
3.0120	2.650
3.0211	2.649
3.0303	2.649
3.0395	2.648
3.0488	2.648
3.0581	2.648
3.0675	2.648
3.0769	2.648
3.0864	2.648
3.0960	2.647
3.1056	2.647
3.1153	2.646
3.1250	2.646
3.1348	2.646
3.1447	2.646
3.1546	2.645
3.1646	2.645
3.1746	2.644
3.1847	2.644
3.1949	2.644
3.2051	2.644
3.2154	2.643
3.2258	2.643
3.2362	2.643
3.2468	2.643
3.2573	2.643
3.2680	2.642
3.2787	2.642
3.2895	2.642
3.3003	2.642
3.3113	2.640
3.3223	2.640
3.3333	2.641
3.3445	2.641
3.3557	2.641
3.3670	2.641
3.3784	2.641
3.3898	2.641
3.4014	2.640
3.4130	2.641
3.4247	2.640
3.4364	2.640
3.4483	2.640
3.4602	2.639
3.4722	2.639
3.4843	2.639
3.4965	2.638
3.5088	2.638
3.5211	2.638
3.5336	2.637
3.5461	2.637
3.5587	2.636
3.5714	2.635
3.5842	2.635
3.5971	2.635
3.6101	2.635
3.6232	2.635
3.6364	2.634
3.6496	2.634
3.6630	2.634
3.6765	2.633
3.6900	2.633
3.7037	2.632
3.7175	2.632
3.7313	2.631
3.7453	2.631
3.7594	2.631
3.7736	2.630
3.7879	2.630
3.8023	2.629
3.8168	2.628
3.8314	2.628
3.8462	2.628
3.8610	2.627
3.8760	2.627
3.6911	2.627
3.9063	2.626
3.9216	2.625
3.9370	2.625
3.9526	2.625
3.9683	2.624
3.9841	2.624
4.0000	2.624
4.0161	2.623
4.0323	2.623
4.0486	2.622
4.0650	2.621
4.0816	2.620
4.0984	2.620
4.1152	2.619
4.1322	2.619
4.1494	2.618
4.1667	2.616
4.1841	2.615
4.2017	2.615
4.2194	2.616
4.2373	2.616
4.2553	2.615
4.2735	2.615
4.2918	2.613
4.3103	2.612
4.3290	2.611
4.3478	2.610
4.3668	2.609
4.3860	2.609
4.4053	2.608
4.4248	2.607
4.4444	2.607
4.4643	2.606
4.4843	2.605
4.5045	2.605
4.5249	2.604
4.5455	2.604
4.5662	2.603
4.5872	2.602
4.6083	2.602
4.6296	2.601
4.6512	2.600
4.6729	2.599
4.6948	2.598
4.7170	2.598
4.7393	2.597
4.7619	2.596
4.7847	2.595
4.8077	2.595
4.8309	2.593
4.8544	2.593
4.8780	2.592
4.9020	2.591
4.9261	2.590
4.9505	2.588
4.9751	2.588
5.0000	2.587
5.0251	2.586
5.0505	2.585
5.0761	2.584
5.1020	2.583
5.1282	2.582
5.1546	2.581
5.1813	2.580
5.2083	2.579
5.2356	2.578
5.2632	2.576
5.2910	2.575
5.3191	2.575
5.3476	2.573
5.3763	2.572
5.4054	2.570
5.4348	2.569
5.4645	2.568
5.4945	2.567
5.5249	2.565
5.5556	2.564
5.5866	2.562
5.6180	2.561
5.6497	2.560
5.6818	2.559
5.7143	2.557
5.7471	2.556
5.7803	2.554
5.8140	2.552
5.8480	2.551
5.8824	2.549
5.9172	2.547
5.9524	2.545
5.9880	2.543
6.0241	2.542
6.0606	2.541
6.0976	2.539
6.1350	2.536
6.1728	2.534
6.2112	2.532
6.2500	2.529
6.2893	2.527
6.3291	2.525
6.3694	2.524
6.4103	2.522
6.4516	2.520
6.4935	2.517
6.5359	2.516
6.5789	2.514
6.6225	2.511
6.6667	2.508
6.7114	2.505
6.7568	2.503
6.8027	2.500
6.8493	2.498
6.8966	2.494
6.9444	2.491
6.9930	2.488
7.0423	2.485
7.0922	2.481
7.1429	2.477
7.1942	2.474
7.2464	2.469
7.2993	2.466
7.3529	2.462
7.4074	2.457
7.4627	2.452
7.5188	2.447
7.5758	2.443
7.6336	2.438
7.6923	2.433
7.7519	2.428
7.8125	2.423
7.8740	2.418
7.9365	2.414
8.0000	2.409
8.0645	2.404
8.1301	2.398
8.1967	2.392
8.2645	2.386
8.3333	2.381
8.4034	2.375
8.4746	2.369
8.5470	2.363
8.6207	2.356
8.6957	2.349
8.7719	2.344
8.8496	2.337
8.9286	2.329
9.0090	2.321
9.0909	2.312
9.1743	2.303
9.2593	2.294
9.3458	2.284
9.4340	2.275
9.5238	2.265
9.6154	2.256
9.7087	2.246
9.8039	2.236
9.9010	2.224
10.0000	2.212
10.1010	2.199
10.2041	2.185
10.3093	2.170
10.4167	2.155
10.5263	2.141
10.6383	2.126
10.7527	2.110
10.8696	2.095
10.9890	2.081
11.1111	2.065
11.2360	2.045
11.3636	2.023
11.4943	1.999
11.6279	1.974
11.7647	1.949
11.9048	1.921
12.0482	1.891
12.1951	1.857
12.3457	1.823
12.5000	1.786
12.6582	1.745
12.8205	1.702
12.9870	1.653
13.1579	1.597
13.3333	1.536
13.5135	1.471
13.6986	1.399
13.8889	1.322
14.0845	1.238
14.2857	1.145
14.4928	1.037
14.7059	0.910
14.9254	0.754
15.1515	0.601
15.3846	0.478
15.6250	0.403
15.8730	0.361
16.1290	0.327
16.3934	0.307
16.6667	0.304
16.9492	0.318
17.2414	0.342
17.5439	0.395
17.8571	0.522
18.1818	0.787
18.5185	1.265
18.8679	2.007
19.2308	2.820
19.6078	2.673
20.0000	1.764
20.4082	1.105
20.8333	0.902
21.2766	1.015
21.7391	1.268
22.2222	2.230
22.7273	4.992
23.2558	7.431
23.8095	6.229
24.3902	4.966
25.0000	4.100
25.6410	3.262
26.3158	2.383
27.0270	1.554
27.7778	1.030
28.5714	0.808
29.4118	0.846
30.3030	1.005
31.2500	1.402
32.2581	2.681
33.3333	6.494
34.4828	12.585
35.7143	11.932
37.0370	9.433
38.4615	8.312
40.0000	7.290
41.6667	6.649
43.4783	7.022
45.4545	6.789
47.6190	6.359
50.0000	6.094
52.6316	5.844
55.5556	5.658
58.8235	5.509
62.5000	5.387
66.6667	5.285
71.4286	5.198
76.9231	5.124
83.3333	5.060
90.9091	5.005

wl	k
0.2100	1.207
0.2200	1.291
0.2300	1.309
0.2400	1.309
0.2500	1.315
0.2600	1.317
0.2700	1.300
0.2800	1.270
0.2900	1.233
0.3000	1.208
0.3100	1.195
0.3200	1.169
0.3300	1.122
0.3400	1.085
0.3500	1.093
0.3600	1.140
0.3700	1.202
0.3800	1.258
0.3900	1.291
0.4000	1.294
0.4100	1.271
0.4200	1.231
0.4300	1.173
0.4400	1.101
0.4500	1.020
0.4600	0.943
0.4700	0.874
0.4800	0.809
0.4900	0.741
0.5000	0.675
0.5100	0.622
0.5200	0.587
0.5300	0.564
0.5400	0.538
0.5500	0.498
0.5600	0.437
0.5700	0.357
0.5800	0.274
0.5900	0.202
0.6000	0.149
0.6100	0.114
0.6200	0.089
0.6300	0.073
0.6400	0.065
0.6500	0.057
0.6600	0.051
0.6700	0.043
0.6800	0.038
0.6900	0.034
0.7000	0.031
0.7100	0.028
0.7200	0.026
0.7300	0.024
0.7400	0.022
0.7500	0.021
0.7600	0.020
0.7700	0.020
0.7800	0.019
0.7900	0.019
0.8000	0.020
0.8100	0.022
0.8200	0.024
0.8300	0.025
0.8400	0.026
0.8500	0.027
0.8600	0.027
0.8700	0.026
0.8800	0.026
0.8900	0.026
0.9000	0.024
0.9100	0.024
0.9200	0.023
0.9300	0.023
0.9400	0.023
0.9500	0.022
0.9600	0.021
0.9700	0.020
0.9800	0.018
0.9900	0.017
1.0000	0.015
1.0100	0.015
1.0200	0.014
1.0300	0.013
1.0400	0.012
1.0500	0.011
1.0600	0.011
1.0700	0.011
1.0800	0.011
1.0900	0.011
1.1000	0.011
1.1100	0.011
1.1200	0.011
1.1300	0.011
1.1400	0.010
1.1500	0.010
1.1600	0.009
1.1700	0.009
1.1800	0.010
1.1900	0.010
1.2000	0.011
1.2100	0.011
1.2200	0.011
1.2300	0.011
1.2400	0.011
1.2500	0.011
1.2600	0.011
1.2700	0.010
1.2800	0.010
1.2900	0.011
1.3000	0.012
1.3100	0.013
1.3200	0.013
1.3300	0.013
1.3400	0.013
1.3500	0.013
1.3600	0.013
1.3700	0.013
1.3800	0.014
1.3900	0.015
1.4000	0.015
1.4100	0.016
1.4200	0.017
1.4300	0.017
1.4400	0.017
1.4500	0.017
1.4600	0.017
1.4700	0.017
1.4800	0.018
1.4900	0.018
1.5000	0.019
1.5100	0.019
1.5200	0.019
1.5300	0.020
1.5400	0.021
1.5500	0.021
1.5600	0.020
1.5700	0.020
1.5800	0.020
1.5900	0.021
1.6000	0.022
1.6100	0.023
1.6200	0.023
1.6300	0.024
1.6400	0.024
1.6500	0.024
1.6600	0.024
1.6700	0.024
1.6800	0.024
1.6900	0.024
1.7000	0.024
1.7100	0.024
1.7200	0.025
1.7300	0.025
1.7400	0.025
1.7500	0.025
1.7600	0.025
1.7700	0.026
1.7800	0.026
1.7900	0.025
1.8000	0.024
1.8100	0.025
1.8200	0.025
1.8300	0.026
1.8400	0.026
1.8500	0.027
1.8600	0.029
1.8700	0.031
1.8800	0.032
1.8900	0.032
1.9000	0.032
1.9100	0.032
1.9200	0.032
1.9300	0.032
1.9400	0.032
1.9500	0.031
1.9600	0.031
1.9700	0.031
1.9800	0.031
1.9900	0.031
2.0000	0.031
2.0100	0.032
2.0200	0.032
2.0300	0.032
2.0400	0.032
2.0500	0.032
2.0600	0.033
2.0700	0.033
2.0800	0.033
2.0900	0.033
2.1000	0.032
2.1100	0.033
2.1200	0.033
2.1300	0.033
2.1400	0.033
2.1500	0.033
2.1600	0.034
2.1700	0.034
2.1800	0.034
2.1900	0.034
2.2000	0.034
2.2100	0.034
2.2200	0.034
2.2300	0.034
2.2400	0.034
2.2500	0.034
2.2600	0.034
2.2700	0.034
2.2800	0.034
2.2900	0.034
2.3000	0.034
2.3100	0.034
2.3200	0.034
2.3300	0.034
2.3400	0.034
2.3500	0.034
2.3600	0.034
2.3700	0.034
2.3800	0.034
2.3900	0.035
2.4000	0.034
2.4100	0.034
2.4200	0.034
2.4300	0.035
2.4400	0.035
2.4500	0.035
2.4600	0.034
2.4700	0.034
2.4800	0.034
2.4900	0.033
2.5000	0.034
2.5063	0.034
2.5126	0.034
2.5189	0.034
2.5253	0.035
2.5316	0.035
2.5381	0.036
2.5445	0.036
2.5510	0.035
2.5575	0.036
2.5641	0.036
2.5707	0.036
2.5773	0.035
2.5840	0.035
2.5907	0.035
2.5974	0.035
2.6042	0.035
2.6110	0.034
2.6178	0.034
2.6247	0.034
2.6316	0.033
2.6385	0.033
2.6455	0.033
2.6525	0.034
2.6596	0.034
2.6667	0.034
2.6738	0.033
2.6810	0.032
2.6882	0.032
2.6954	0.032
2.7027	0.032
2.7100	0.032
2.7174	0.032
2.7248	0.032
2.7322	0.032
2.7397	0.032
2.7473	0.032
2.7548	0.032
2.7624	0.032
2.7701	0.032
2.7778	0.031
2.7855	0.031
2.7933	0.031
2.8011	0.031
2.8090	0.031
2.8169	0.031
2.8249	0.031
2.8329	0.031
2.8409	0.031
2.8490	0.031
2.8571	0.031
2.8653	0.031
2.8736	0.031
2.8818	0.031
2.8902	0.031
2.8986	0.031
2.9070	0.031
2.9155	0.031
2.9240	0.031
2.9326	0.031
2.9412	0.031
2.9499	0.032
2.9586	0.032
2.9674	0.032
2.9762	0.032
2.9851	0.032
2.9940	0.032
3.0030	0.032
3.0120	0.031
3.0211	0.031
3.0303	0.031
3.0395	0.031
3.0488	0.032
3.0581	0.031
3.0675	0.031
3.0769	0.031
3.0864	0.031
3.0960	0.030
3.1056	0.030
3.1153	0.030
3.1250	0.031
3.1348	0.031
3.1447	0.031
3.1546	0.031
3.1646	0.031
3.1746	0.031
3.1847	0.031
3.1949	0.031
3.2051	0.031
3.2154	0.031
3.2258	0.031
3.2362	0.032
3.2468	0.031
3.2573	0.031
3.2680	0.031
3.2787	0.031
3.2895	0.031
3.3003	0.031
3.3113	0.032
3.3223	0.032
3.3333	0.032
3.3445	0.032
3.3557	0.032
3.3670	0.032
3.3784	0.032
3.3898	0.032
3.4014	0.032
3.4130	0.032
3.4247	0.031
3.4364	0.031
3.4483	0.031
3.4602	0.031
3.4722	0.031
3.4843	0.030
3.4965	0.030
3.5088	0.030
3.5211	0.030
3.5336	0.030
3.5461	0.030
3.5587	0.030
3.5714	0.030
3.5842	0.030
3.5971	0.031
3.6101	0.031
3.6232	0.030
3.6364	0.030
3.6496	0.030
3.6630	0.030
3.6765	0.030
3.6900	0.030
3.7037	0.029
3.7175	0.030
3.7313	0.030
3.7453	0.030
3.7594	0.030
3.7736	0.029
3.7879	0.029
3.8023	0.029
3.8168	0.029
3.8314	0.030
3.8462	0.030
3.8610	0.030
3.8760	0.029
3.6911	0.030
3.9063	0.029
3.9216	0.030
3.9370	0.030
3.9526	0.029
3.9683	0.029
3.9841	0.029
4.0000	0.029
4.0161	0.029
4.0323	0.029
4.0486	0.029
4.0650	0.028
4.0816	0.028
4.0984	0.029
4.1152	0.029
4.1322	0.028
4.1494	0.028
4.1667	0.028
4.1841	0.029
4.2017	0.030
4.2194	0.030
4.2373	0.030
4.2553	0.029
4.2735	0.028
4.2918	0.028
4.3103	0.028
4.3290	0.028
4.3478	0.028
4.3668	0.028
4.3860	0.029
4.4053	0.029
4.4248	0.029
4.4444	0.030
4.4643	0.030
4.4843	0.030
4.5045	0.030
4.5249	0.030
4.5455	0.030
