wl	n
0.2100	2.256
0.2200	2.305
0.2300	2.337
0.2400	2.364
0.2500	2.387
0.2600	2.400
0.2700	2.404
0.2800	2.401
0.2900	2.397
0.3000	2.398
0.3100	2.398
0.3200	2.403
0.3300	2.409
0.3400	2.415
0.3500	2.422
0.3600	2.434
0.3700	2.447
0.3800	2.459
0.3900	2.464
0.4000	2.462
0.4100	2.453
0.4200	2.440
0.4300	2.423
0.4400	2.404
0.4500	2.386
0.4600	2.374
0.4700	2.367
0.4800	2.365
0.4900	2.364
0.5000	2.359
0.5100	2.354
0.5200	2.349
0.5300	2.346
0.5400	2.344
0.5500	2.343
0.5600	2.342
0.5700	2.342
0.5800	2.342
0.5900	2.344
0.6000	2.346
0.6100	2.350
0.6200	2.353
0.6300	2.358
0.6400	2.366
0.6500	2.366
0.6600	2.363
0.6700	2.364
0.6800	2.362
0.6900	2.359
0.7000	2.355
0.7100	2.349
0.7200	2.343
0.7300	2.336
0.7400	2.329
0.7500	2.320
0.7600	2.312
0.7700	2.303
0.7800	2.294
0.7900	2.284
0.8000	2.279
0.8100	2.272
0.8200	2.262
0.8300	2.253
0.8400	2.245
0.8500	2.236
0.8600	2.229
0.8700	2.222
0.8800	2.213
0.8900	2.205
0.9000	2.196
0.9100	2.189
0.9200	2.182
0.9300	2.175
0.9400	2.168
0.9500	2.159
0.9600	2.153
0.9700	2.146
0.9800	2.139
0.9900	2.134
1.0000	2.130
1.0100	2.125
1.0200	2.122
1.0300	2.119
1.0400	2.116
1.0500	2.114
1.0600	2.112
1.0700	2.110
1.0800	2.108
1.0900	2.107
1.1000	2.106
1.1100	2.104
1.1200	2.103
1.1300	2.102
1.1400	2.102
1.1500	2.102
1.1600	2.102
1.1700	2.103
1.1800	2.104
1.1900	2.103
1.2000	2.106
1.2100	2.114
1.2200	2.117
1.2300	2.120
1.2400	2.123
1.2500	2.126
1.2600	2.129
1.2700	2.132
1.2800	2.135
1.2900	2.139
1.3000	2.143
1.3100	2.146
1.3200	2.149
1.3300	2.153
1.3400	2.158
1.3500	2.162
1.3600	2.166
1.3700	2.171
1.3800	2.176
1.3900	2.181
1.4000	2.186
1.4100	2.192
1.4200	2.198
1.4300	2.203
1.4400	2.209
1.4500	2.215
1.4600	2.221
1.4700	2.227
1.4800	2.233
1.4900	2.240
1.5000	2.246
1.5100	2.252
1.5200	2.259
1.5300	2.265
1.5400	2.270
1.5500	2.278
1.5600	2.284
1.5700	2.290
1.5800	2.295
1.5900	2.301
1.6000	2.308
1.6100	2.314
1.6200	2.319
1.6300	2.325
1.6400	2.331
1.6500	2.337
1.6600	2.343
1.6700	2.350
1.6800	2.357
1.6900	2.364
1.7000	2.371
1.7100	2.378
1.7200	2.385
1.7300	2.391
1.7400	2.398
1.7500	2.405
1.7600	2.412
1.7700	2.419
1.7800	2.425
1.7900	2.432
1.8000	2.441
1.8100	2.446
1.8200	2.451
1.8300	2.457
1.8400	2.464
1.8500	2.471
1.8600	2.474
1.8700	2.475
1.8800	2.480
1.8900	2.487
1.9000	2.492
1.9100	2.498
1.9200	2.504
1.9300	2.510
1.9400	2.515
1.9500	2.521
1.9600	2.527
1.9700	2.532
1.9800	2.536
1.9900	2.539
2.0000	2.545
2.0100	2.558
2.0200	2.566
2.0300	2.573
2.0400	2.580
2.0500	2.586
2.0600	2.592
2.0700	2.597
2.0800	2.603
2.0900	2.608
2.1000	2.613
2.1100	2.619
2.1200	2.624
2.1300	2.629
2.1400	2.633
2.1500	2.638
2.1600	2.643
2.1700	2.648
2.1800	2.653
2.1900	2.657
2.2000	2.662
2.2100	2.666
2.2200	2.671
2.2300	2.675
2.2400	2.680
2.2500	2.685
2.2600	2.693
2.2700	2.699
2.2800	2.706
2.2900	2.713
2.3000	2.718
2.3100	2.722
2.3200	2.726
2.3300	2.730
2.3400	2.735
2.3500	2.741
2.3600	2.747
2.3700	2.751
2.3800	2.754
2.3900	2.758
2.4000	2.763
2.4100	2.767
2.4200	2.771
2.4300	2.776
2.4400	2.780
2.4500	2.785
2.4600	2.791
2.4700	2.797
2.4800	2.801
2.4900	2.805
2.5000	2.811
2.5063	2.813
2.5126	2.812
2.5189	2.816
2.5253	2.818
2.5316	2.821
2.5381	2.826
2.5445	2.825
2.5510	2.831
2.5575	2.833
2.5641	2.834
2.5707	2.837
2.5773	2.837
2.5840	2.839
2.5907	2.844
2.5974	2.843
2.6042	2.851
2.6110	2.852
