wl	n
0.019656426	0.879901155
0.019997233	0.875939816
0.020343948	0.871942095
0.020696676	0.867825145
0.021055519	0.863460286
0.021420583	0.858877292
0.021791977	0.854081836
0.022169811	0.849064171
0.022554195	0.843805265
0.022945244	0.8382557
0.023343073	0.83232482
0.023747799	0.826210599
0.024159543	0.819911796
0.024578426	0.813356939
0.025004571	0.806505049
0.025438105	0.798010479
0.025879156	0.788780823
0.026327854	0.778428182
0.026784331	0.766972838
0.027248723	0.754504163
0.027721166	0.741166077
0.028201801	0.72713967
0.028690769	0.712626181
0.029188215	0.697832539
0.029694286	0.682960724
0.030209131	0.668203613
0.030732903	0.653803824
0.031265756	0.640134146
0.031807847	0.627227306
0.032359338	0.615081457
0.03292039	0.603683883
0.03349117	0.593010823
0.034071846	0.583026267
0.03466259	0.573672199
0.035263577	0.564691694
0.035874983	0.555776703
0.03649699	0.54706872
0.037129782	0.538667534
0.037773545	0.530644078
0.03842847	0.523050786
0.03909475	0.515927983
0.039772582	0.509308896
0.040462167	0.503224325
0.041163708	0.497707954
0.041877412	0.492803986
0.04260349	0.488581426
0.043342158	0.48517165
0.044093632	0.48299223
0.044858136	0.484068511
0.045635895	0.488431975
0.046427138	0.495454594
0.047232101	0.504579604
0.04805102	0.51512461
0.048884137	0.52591365
0.0497317	0.53259481
0.050593957	0.528835717
0.051471165	0.517870133
0.052363582	0.504102977
0.053271471	0.491220527
0.054195102	0.486332511
0.055134747	0.489428099
0.056090684	0.49878509
0.057063195	0.511313021
0.058052567	0.525585476
0.059059093	0.541770018
0.060083071	0.559863991
0.061124803	0.579755278
0.062184596	0.601116922
0.063262764	0.62250593
0.064359626	0.643217699
0.065475505	0.66363039
0.066610732	0.684039099
0.067765642	0.704758266
0.068940575	0.726204645
0.07013588	0.749174611
0.071351909	0.775719361
0.072589022	0.806052799
0.073847584	0.839836818
0.075127967	0.876762625
0.07643055	0.916366562
0.077755717	0.957661799
0.079103861	0.99820195
0.080475378	1.037798616
0.081870676	1.077332901
0.083290165	1.117697312
0.084734265	1.160273525
0.086203404	1.207210431
0.087698015	1.258575725
0.08921854	1.314255422
0.090765428	1.374446652
0.092339136	1.439098539
0.093940129	1.507639735
0.095568881	1.579371782
0.097225872	1.653228675
0.098911592	1.72742367
0.10062654	1.80045637
0.102371222	1.873352217
0.104146154	1.947171924
0.105951859	2.022944949
0.107788873	2.101925237
0.109657737	2.18591653
0.111559003	2.276343875
0.113493234	2.37346981
0.115461001	2.478428965
0.117462886	2.594264422
0.119499479	2.716073081
0.121571384	2.829268909
0.123679212	2.917293982
0.125823585	2.963805431
0.128005138	2.984143511
0.130224515	3.00102122
0.132482373	3.030690146
0.134779377	3.078056632
0.137116207	3.126305668
0.139493554	3.164309189
0.141912119	3.199959194
0.144372618	3.240716621
0.146875778	3.288215208
0.149422338	3.343526102
0.152013051	3.408757692
0.154648682	3.467766811
0.15733001	3.50686159
0.160057827	3.519154608
0.16283294	3.50134137
0.165656168	3.453153891
0.168528346	3.376849991
0.171450322	3.276400241
0.17442296	3.156377247
0.177447138	3.027955434
0.18052375	2.921135791
0.183653705	2.837403544
0.186837928	2.774595459
0.190077359	2.730944298
0.193372956	2.705360542
0.196725693	2.697582861
0.20013656	2.708576405
0.203606565	2.734216233
0.207136734	2.759586883
0.21072811	2.780700755
0.214381754	2.795519246
0.218098745	2.803707537
0.221880182	2.805621031
0.225727183	2.802633392
0.229640883	2.795966732
0.23362244	2.787070884
0.23767303	2.777116798
0.24179385	2.767192967
0.245986117	2.758225378
0.250251071	2.750817069
0.254589971	2.745388035
0.2590041	2.742228682
0.263494762	2.741028281
0.268063284	2.741552485
0.272711016	2.743263976
0.277439331	2.74530832
0.282249626	2.747118763
0.287143324	2.748207615
0.292121869	2.748130765
0.297186733	2.746828325
0.302339412	2.744120047
0.30758143	2.740144895
0.312914335	2.735208627
0.318339703	2.72934459
0.323859137	2.722790886
0.329474267	2.71577069
0.335186754	2.708420857
0.340998285	2.701010139
0.346910578	2.693345239
0.352925379	2.685778463
0.359044466	2.678301119
0.365269647	2.670843437
0.371602761	2.663623285
0.378045679	2.656555782
0.384600307	2.649669477
0.391268579	2.643027778
0.398052468	2.636605361
0.404953976	2.630403986
0.411975145	2.624417441
0.419118048	2.618627708
0.426384795	2.613052524
0.433777535	2.607791763
0.441298452	2.602625866
0.448949768	2.597651277
0.456733744	2.592908242
0.464652679	2.588351594
0.472708915	2.583922685
0.480904831	2.579696218
0.48924285	2.575655395
0.497725435	2.571804063
0.506355092	2.56800173
0.515134372	2.564483315
0.524065869	2.561020134
0.533152222	2.557612798
0.542396116	2.554446627
0.551800282	2.551392981
0.5613675	2.548444011
0.571100595	2.545597647
