wl	n
4.430E-002	0.8228
4.510E-002	0.8250
4.590E-002	0.8255
4.680E-002	0.8258
4.770E-002	0.8263
4.860E-002	0.8281
4.960E-002	0.8347
5.060E-002	0.8428
5.170E-002	0.8483
5.280E-002	0.8505
5.390E-002	0.8497
5.510E-002	0.8489
5.640E-002	0.8519
5.770E-002	0.8566
5.900E-002	0.8647
6.050E-002	0.8797
6.200E-002	0.8970
6.360E-002	0.9173
6.530E-002	0.9400
6.700E-002	0.9679
6.890E-002	1.0093
7.080E-002	1.0536
7.290E-002	1.0986
7.380E-002	1.1183
7.510E-002	1.1449
7.750E-002	1.1885
8.000E-002	1.2273
8.270E-002	1.2629
8.550E-002	1.3117
8.860E-002	1.3807
9.180E-002	1.4091
9.300E-002	1.4028
9.540E-002	1.3948
9.920E-002	1.3964
1.033E-001	1.4047
1.078E-001	1.3981
1.100E-001	1.3886
1.127E-001	1.3806
1.140E-001	1.3772
1.181E-001	1.3783
1.210E-001	1.3929
1.240E-001	1.4061
1.272E-001	1.3999
1.295E-001	1.3777
1.305E-001	1.3607
1.319E-001	1.3389
1.333E-001	1.3210
1.348E-001	1.3030
1.362E-001	1.2871
1.370E-001	1.2849
1.378E-001	1.2851
1.387E-001	1.2970
1.393E-001	1.3151
1.409E-001	1.3575
1.425E-001	1.4130
1.435E-001	1.4525
1.442E-001	1.4845
1.450E-001	1.5157
1.459E-001	1.5484
1.468E-001	1.5729
1.476E-001	1.5915
1.480E-001	1.6021
1.485E-001	1.6077
1.494E-001	1.6156
1.512E-001	1.6220
1.531E-001	1.6311
1.540E-001	1.6345
1.550E-001	1.6363
1.569E-001	1.6353
1.580E-001	1.6309
1.589E-001	1.6214
1.610E-001	1.5818
1.630E-001	1.5482
1.650E-001	1.5225
1.670E-001	1.5027
1.690E-001	1.4870
1.710E-001	1.4743
1.730E-001	1.4635
1.750E-001	1.4543
1.770E-001	1.4462
1.790E-001	1.4390
1.810E-001	1.4326
1.830E-001	1.4268
1.850E-001	1.4215
1.870E-001	1.4167
1.890E-001	1.4122
1.910E-001	1.4081
1.930E-001	1.4043
1.950E-001	1.4007
1.970E-001	1.3974
1.990E-001	1.3943
2.010E-001	1.3914
2.019E-001	1.3901
2.100E-001	1.3801
2.500E-001	1.3509
3.000E-001	1.3339
3.500E-001	1.3249
3.900E-001	1.3203
4.000E-001	1.3194
4.100E-001	1.3185
4.200E-001	1.3177
4.300E-001	1.3170
4.400E-001	1.3163
4.500E-001	1.3157
4.600E-001	1.3151
4.700E-001	1.3145
4.800E-001	1.3140
4.900E-001	1.3135
5.000E-001	1.3130
5.100E-001	1.3126
5.200E-001	1.3121
5.300E-001	1.3117
5.400E-001	1.3114
5.500E-001	1.3110
5.600E-001	1.3106
5.700E-001	1.3103
5.800E-001	1.3100
5.900E-001	1.3097
6.000E-001	1.3094
6.100E-001	1.3091
6.200E-001	1.3088
6.300E-001	1.3085
6.400E-001	1.3083
6.500E-001	1.3080
6.600E-001	1.3078
6.700E-001	1.3076
6.800E-001	1.3073
6.900E-001	1.3071
7.000E-001	1.3069
7.100E-001	1.3067
7.200E-001	1.3065
7.300E-001	1.3062
7.400E-001	1.3060
7.500E-001	1.3059
7.600E-001	1.3057
7.700E-001	1.3055
7.800E-001	1.3053
7.900E-001	1.3051
8.000E-001	1.3049
8.100E-001	1.3047
8.200E-001	1.3046
8.300E-001	1.3044
8.400E-001	1.3042
8.500E-001	1.3040
8.600E-001	1.3039
8.700E-001	1.3037
8.800E-001	1.3035
8.900E-001	1.3033
9.000E-001	1.3032
9.100E-001	1.3030
9.200E-001	1.3028
9.300E-001	1.3027
9.400E-001	1.3025
9.500E-001	1.3023
9.600E-001	1.3022
9.700E-001	1.3020
9.800E-001	1.3019
9.900E-001	1.3017
1.000E+000	1.3015
1.010E+000	1.3014
1.020E+000	1.3012
1.030E+000	1.3010
1.040E+000	1.3009
1.050E+000	1.3007
1.060E+000	1.3005
1.070E+000	1.3003
1.080E+000	1.3002
1.090E+000	1.3000
1.100E+000	1.2998
1.110E+000	1.2997
1.120E+000	1.2995
1.130E+000	1.2993
1.140E+000	1.2991
1.150E+000	1.2990
1.160E+000	1.2988
1.170E+000	1.2986
1.180E+000	1.2984
1.190E+000	1.2982
1.200E+000	1.2980
1.210E+000	1.2979
1.220E+000	1.2977
1.230E+000	1.2975
1.240E+000	1.2973
1.250E+000	1.2971
1.260E+000	1.2969
1.270E+000	1.2967
1.280E+000	1.2965
1.290E+000	1.2963
1.300E+000	1.2961
1.310E+000	1.2959
1.320E+000	1.2957
1.330E+000	1.2955
1.340E+000	1.2953
1.350E+000	1.2951
1.360E+000	1.2949
1.370E+000	1.2946
1.380E+000	1.2944
1.390E+000	1.2941
1.400E+000	1.2939
1.410E+000	1.2937
1.420E+000	1.2934
1.430E+000	1.2931
