ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
283.0074820,62.0352908,1.1468,1.0737,0.4391,16.429,0.393,2.8,6.999E-01,15.350,null,-1.8,1.442E+00,1,0,0000,CU,10,58054.27846234,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.498670,282.847366
283.0071186,62.0351240,0.2071,0.1436,0.0762,13.618,0.077,14.1,2.431E+00,14.880,null,0.9,3.168E-01,1,0,0000,AU,10,58782.55403381,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.203724,246.000249
283.0087700,62.0353600,0.4443,0.3790,-0.0804,15.421,0.120,9.0,2.339E+00,15.082,null,0.1,7.086E-01,1,0,0000,BU,0,56801.57579328,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.726097,77.961405
283.0086008,62.0348858,0.9238,0.7428,-0.0978,16.102,0.243,4.5,1.156E+00,15.073,null,0.9,7.901E-01,1,0,0000,BU,10,57524.92037868,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.944681,133.845464
283.0076976,62.0358744,0.8551,0.6312,0.2323,17.158,null,0.1,1.090E+00,14.184,0.237,4.6,6.096E-01,1,0,0000,UB,10,57160.32272470,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.215215,356.837241
283.0069941,62.0346829,0.1961,0.2299,-0.0293,17.078,null,-1.0,1.374E+00,12.412,0.064,17.0,7.597E+00,1,0,0000,UA,5,58989.04161325,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.456000,212.230582
283.0067767,62.0346997,0.5716,0.5472,0.2385,15.596,0.217,5.0,8.422E-01,15.063,null,1.1,6.913E-01,1,0,0000,BU,10,57336.32719304,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.623056,219.737983
283.0067303,62.0346881,0.6800,0.6992,-0.3653,15.239,0.217,5.0,1.489E+00,14.922,null,1.3,5.606E-01,1,0,0000,BU,0,58989.43394106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.705452,220.448305
283.0068176,62.0346450,0.8010,0.6698,0.1539,16.067,0.220,4.9,1.400E+00,15.201,null,-1.2,9.247E-01,1,0,0000,BU,10,58985.51040822,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.736206,215.987491
283.0063703,62.0347202,0.8111,0.8408,0.1359,16.080,0.258,4.2,9.913E-01,15.292,null,1.0,8.614E-01,1,0,0000,BU,10,58060.30129390,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.059361,230.566435
283.0062190,62.0347750,1.1731,0.9750,0.2641,16.560,0.317,3.4,8.631E-01,15.253,null,0.8,7.539E-01,1,0,0000,BU,10,58062.13419719,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.147087,236.303829
283.0058868,62.0350963,1.4587,1.2227,-0.6487,16.754,0.421,2.6,1.024E+00,15.417,null,0.6,6.107E-01,1,0,0000,CU,10,58785.69406127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.233277,259.498990
283.0072479,62.0343951,1.3440,1.4878,-0.7250,16.417,0.496,2.2,1.220E+00,15.012,null,1.0,6.929E-01,1,0,0000,CU,5,58256.46346086,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.235986,195.805678
283.0058598,62.0351751,0.4344,0.4838,-0.1727,15.253,0.178,6.1,1.055E+00,14.954,0.501,2.2,6.946E-01,1,0,0000,BC,10,56975.81574969,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.239143,264.586458
283.0060074,62.0348922,0.8349,0.7377,0.1228,16.123,0.232,4.7,6.076E-01,15.078,null,-0.1,8.381E-01,1,0,0000,BU,10,58785.56315788,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.256839,246.012251
283.0058497,62.0351154,0.6236,0.5361,-0.1353,15.616,0.228,4.8,1.615E+00,15.396,0.464,2.3,4.409E-01,1,0,0000,BC,10,56978.97131425,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.283275,260.878162
283.0057686,62.0352460,0.6648,0.6153,0.2428,15.895,0.220,4.9,7.941E-01,15.153,0.501,2.2,6.504E-01,1,0,0000,BC,5,58255.28558427,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.379022,269.146254
283.0061111,62.0346712,0.5848,0.5118,0.1033,15.743,0.157,6.9,7.076E-01,15.250,null,0.8,9.022E-01,1,0,0000,BU,5,56794.86395255,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.512230,232.878741
283.0056811,62.0352907,0.8852,0.7836,0.3132,15.956,0.291,3.7,6.907E-01,15.172,null,-1.6,1.512E+00,1,0,0000,BU,0,56797.62769169,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.528087,271.796049
283.0071862,62.0343174,1.0053,0.7241,-0.2222,16.164,0.285,3.8,1.519E+00,14.960,null,0.7,8.518E-01,1,0,0000,BU,5,58782.29235458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.533583,196.195429
283.0072528,62.0342961,0.7296,0.5539,-0.3182,15.456,0.247,4.4,6.870E-01,14.756,null,1.6,1.163E+00,1,0,0000,BU,10,57335.14663406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.578200,194.123627
283.0061829,62.0345936,0.6951,0.7900,0.3590,15.879,0.263,4.1,9.124E-01,15.674,null,-0.6,5.338E-01,1,0,0000,BU,10,57525.70669115,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.596377,228.159266
